modelo,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
GradientBoosting,0.8607400583448488,0.8276350876027005,0.7695746966632963,0.7920087552712198,0.8548293192242609,0.8607400583448488,0.8540027751642875
SVC,0.8536772608628896,0.8139737753224652,0.7629636460246383,0.7830556551013259,0.8470387989155634,0.8536772608628896,0.8472346547398621
RandomForest,0.8512206356517734,0.804614858672408,0.7700564629289531,0.78471271596921,0.8453572114705743,0.8512206356517734,0.84675615375043
LinearSVC,0.8529095654844158,0.8120128867083071,0.7631113808010566,0.7825378960875145,0.8462573906078656,0.8529095654844158,0.846679630919724
AdaBoost,0.8478427759864886,0.8080876366179105,0.7488864112379027,0.7710496029166565,0.8403058045199235,0.8478427759864886,0.8398010730801833
NuSVC,0.8366344234607708,0.7785762981789226,0.763499515073977,0.7704605739088498,0.8327820734282455,0.8366344234607708,0.8343636593926465
KNeighborsClassifier,0.8314140948871488,0.7722641718754608,0.7500444945420028,0.7598724212877785,0.8257732235793103,0.8314140948871488,0.8278319801471522
MLPClassifier,0.8335636419468755,0.7789087227798039,0.7412250959534471,0.7565619827871566,0.825647051983957,0.8335636419468755,0.8275515003908616
DecisionTree,0.8152924919391985,0.7474823106443081,0.7520580982645839,0.749704962171619,0.8170644991076461,0.8152924919391985,0.8161384018912099
GaussianNB,0.5366190695532013,0.6481584272504989,0.6767687547718785,0.5335884898526806,0.8100271040634657,0.5366190695532013,0.553082332992982
